"","data_id","treat","age","education","black","hispanic","married","nodegree","re74","re75","re78"
"1","PSID",0,47,12,0,0,0,0,0,0,0
"2","PSID",0,50,12,1,0,1,0,0,0,0
"3","PSID",0,44,12,0,0,0,0,0,0,0
"4","PSID",0,28,12,1,0,1,0,0,0,0
"5","PSID",0,54,12,0,0,1,0,0,0,0
"6","PSID",0,55,12,0,1,1,0,0,0,0
"7","PSID",0,47,12,0,0,1,0,0,0,0
"8","PSID",0,25,12,1,0,0,0,0,0,0
"9","PSID",0,44,12,0,0,1,0,0,0,0
"10","PSID",0,50,12,1,0,1,0,0,0,0
"11","PSID",0,23,12,1,0,0,0,0,0,4728.72509765625
"12","PSID",0,49,14,0,0,1,0,0,0,0
"13","PSID",0,55,14,0,0,1,0,0,0,0
"14","PSID",0,34,14,1,0,1,0,0,0,0
"15","PSID",0,34,16,0,0,1,0,0,0,11821.8134765625
"16","PSID",0,55,13,0,1,1,0,0,0,0
"17","PSID",0,52,12,0,0,1,0,0,0,0
"18","PSID",0,52,15,0,0,1,0,0,0,0
"19","PSID",0,30,16,0,0,1,0,0,0,0
"20","PSID",0,21,12,0,0,0,0,0,0,0
"21","PSID",0,30,17,0,0,0,0,0,0,0
"22","PSID",0,44,12,0,0,1,0,0,0,0
"23","PSID",0,46,12,0,0,0,0,0,0,0
"24","PSID",0,53,17,0,0,1,0,0,0,0
"25","PSID",0,26,16,0,0,0,0,0,0,9014.1318359375
"26","PSID",0,49,12,0,0,1,0,0,0,13299.5390625
"27","PSID",0,39,15,0,0,1,0,0,0,1921.04455566406
"28","PSID",0,26,17,0,0,1,0,0,0,11821.8134765625
"29","PSID",0,32,16,0,0,1,0,0,0,0
"30","PSID",0,34,12,0,0,1,0,0,0,0
"31","PSID",0,31,14,0,0,1,0,0,0,0
"32","PSID",0,39,17,0,1,1,0,0,0,8866.359375
"33","PSID",0,40,17,0,0,1,0,0,0,0
"34","PSID",0,31,12,0,0,1,0,0,0,0
"35","PSID",0,27,13,0,0,1,0,0,0,28076.8046875
"36","PSID",0,48,12,0,0,1,0,0,0,0
"37","PSID",0,41,13,0,0,1,0,0,0,0
"38","PSID",0,26,14,0,0,0,0,0,0,0
"39","PSID",0,50,17,0,0,0,0,0,0,0
"40","PSID",0,48,12,0,0,1,0,0,0,12930.1083984375
"41","PSID",0,45,16,0,0,1,0,0,0,0
"42","PSID",0,37,13,0,0,1,0,0,0,0
"43","PSID",0,33,12,0,0,1,0,0,0,0
